"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""restricting site""","binding site","309"
"""amino corrosive""","amino acid","308"
"""registering asset""","computing resources","307"
"""an expanding pattern""","an increased trend","307"
"""blossom extract""","flower extract","306"
"""warm radiation""","heat radiation","306"
"""programming bundle""","software package","306"
"""sexual introduction""","sexual orientation","305"
"""discourse tests""","speech samples","304"
"""preparing pictures""","training images","304"
"""genuine positive TP""~5","true positive","304"
"""brilliant home""","smart home","303"
"""irregularity identification""","anomaly detection","303"
"""part-of-speech labeling""","part-of-speech tagging","302"
"""expanded reality"" AND ""AR""","augmented reality","301"
"""vitality effective""","energy efficient","299"
"""rule of thump""","rule of thumb","299"
"""cardiovascular wellbeing""","cardiovascular health","298"
"""dispersion system"" AND ""supply chain""","supply chain","297"
"""structural pitch""","structure, structural features","297"
"""monetary misfortunes""","financial damages","296"
"""query table"" AND ""lookup table""","lookup table","295"
"""backing vector machine""","support vector machine (SVM)","295"
"""automated thinking""","machine learning (ML)","295"
"""profound neural networks""","deep neural network (DNN)","295"
"""expanded reality"" AND ""augmented reality""","augmented reality","294"
"""profound CNN""","deep CNN (neural network)","293"
"""speech acknowledgment"" AND ""speech recognition""","speech recognition","293"
"""parcel's edge""","separations margin","293"
"""principal element analysis""","Principal Component Analysis (PCA)","291"
"""high-goal"" AND ""high-resolution""","high-resolution","291"
"""cardiovascular breakdown""","heart failure","291"
"""reconnaissance framework""","surveillance system","290"
"""information distribution center""","data warehouse","290"
"""beginning boundaries""","initial parameters","289"
"""weighty metals""","heavy metals","288"
"""256 pieces""","256 bits","288"
"""sign decay"" AND signal","signal decomposition","288"
"""dirt impurities""","soil pollutants","288"
"""renewable vitality""","renewable energy","287"
"""flag classification""","signal classification","286"
"""number juggling""","arithmetic","286"
"""attractive reverberation imaging""","magnetic resonance imaging (MRI)","286"
"""neural arrange""","neural network","284"
"""square mistake""","(mean) squared error","282"
"""interruption location"" AND ""intrusion detection""","intrusion detection","281"
"""irregular timberland""","random forest","281"
"""inserted framework""","embedded system","281"
"""joint picture expert group""","Joint Photographic Experts Group (JPEG)","281"
"""machine education"" AND ""machine learning""","machine learning","280"
"""measurably critical""","statistically significant","279"
"""component guide"" AND ""CNN""","feature map","279"
"""neural organize""","neural network","278"
"""learning bend""","learning curve","278"
"""emotional translations""","???","278"
"""random woodland""","random forest","278"
"""assault vector""","attack vector","277"
"""component choice"" AND ""feature selection""","feature selection","277"
"""biological assault""","biological attack","277"
"""ancient rarities""","artifacts","276"
"""unaided learning""","unsupervised learning","276"
"""categorization designs""","classification algorithms","275"
"""stop-to-end""","end-to-end","274"
"""choice emotionally supportive""","Decision Support Systems","273"
"""dielectric consistent""","dielectric constant","273"
"""loads and inclinations""","[neural network] weights and biases","273"
"""increased reality"" AND ""3D""","augmented reality","271"
"""grouping calculation"" AND ""clustering algorithm""","clustering algorithm","271"
"""proof of idea""","proof of concept","270"
"""preparing database""","training dataset","270"
"""recalcitrant organic dyes""","difficult to remove","270"
"""acknowledgement of feeling""","emotion recognition","269"
"""bunching strategies""","clustering methods","269"
"""highlight designing""","???","269"
"""choice emotionally supportive network""","decision support system","268"
"""enrolment proportion""","allocation ratio","268"
"""preparation image"" AND ""training image""","training image","267"
"""solar board""","solar panel","265"
"""acknowledgment of feeling""","emotion recognition","264"
"""irresistible infections""","contagious/transmissible diseases","264"
"""genuine negative TN""~5","true negative","263"
"""arrangement precision""","classification accuracy","262"
"""m-wellbeing""","m-health","262"
"""regular language handling""","natural language processing","262"
"""MitM assault""","MitM attack","261"
"""component determination"" AND ""feature selection""","feature selection","260"
"""records arrangement""","data classification","260"
"""data and correspondence innovations""","information and communication technologies","259"
"""concentrate highlight"" NOT specular","extract features","259"
"""Eventually Tom's perusing""","by","258"
"""vitality proficient""","energy efficient","257"
"""swarm improvement""","particule swarm optimization (PSO)","257"
"""concealed neuron""","hidden neuron","256"
"""energy thickness"" AND ""energy density""","energy density","256"
"""discourse investigation""","speech analysis","255"
"""restorative centers""","medical centers","255"
"""inexhaustible power"" AND ""renewable energy""","renewable energy","255"
"""manually deciding""","???","255"
"""transformative change assessment""","???","252"
"""digger"" AND ""bitcoin""","miner (i.e., Bitcoin mining)","252"
"""tainted individuals""","infected/affected individuals","252"
"""destiny research""","future research","252"
"""photograph segmentation""","image segmentation","251"
"""bracket algorithm""","classification algorithm","251"
"""ordinary and unusual""","normal and abnormal","251"
"""keen home""","smart home","251"
"""profound neural organization""","deep neural network","250"
"""unattended learning""","unsupervised learning","249"
"""normal language handling""","natural language processing (NLP)","249"
"""sport hypothesis""","game theory","249"
"""Different Object Tracking""","Multiple Object Tracking","249"
"""irregular woodland""","random forest","249"
"""example acknowledgement"" AND ""pattern recognition""","pattern recognition","248"
"""normalizes the appearance""","Image Enhancement","248"
"""bundle transmission"" AND ""remote""","packet transmission","248"
"""medical expertise (HA)""","healthcare authority (HA)","247"
"""regenerative organs"" AND ""reproductive""","reproductive organs","247"
"""colossal information""","big data","247"
"""prescient investigation""","predictive analysis","247"
"""put away in the cloud""","stored in the cloud","247"
"""feeling analysis"" AND ""sentiment analysis""","sentiment analysis","246"
"""solitary day""","single day (caveat: false positives)","246"
"""cross breed model""~5","hybrid model","245"
"""hyper-boundaries""","hyper-parameters","245"
"""drug delivery frameworks""","drug delivery systems","245"
"""coaching set""","training set","245"
"""squared mistake""","(mean) squared error","245"
"""focal sensory system""","Central Nervous System (CNS)","245"
"""totally connected layer""","fully-connected layer (in a neural network)","244"
"""enter statistics""","input data","244"
"""phantom examinations""","spectral analysis","243"
"""warmth move""","heat transfer","242"
"""information expansion"" AND ""data augmentation""","data augmentation","241"
"""phony news"" AND ""fake news""","fake news","241"
"""in genuine time""","in real time","240"
"""tainted people""","infected people (?)","240"
"""Markova models""","Markov models","240"
"""ecological excellence""","environmental quality","239"
"""relapse strategies"" AND ""regression""","regression methods","239"
"""administered AI""","supervised artificial intelligence","239"
"""speculation execution""","predictive performance","239"
"""sub-atomic weight""","molecular weight","238"
"""accuracy of an order""","accuracy of a classification","238"
"""extreme acid/base""","acute acid/base (disorder/disturbance/stress)","238"
"""watery arrangement""","aqueous solution","237"
"""best of service""","quality of service (QoS)","237"
"""crowd crushes""","???","237"
"""non-direct"" AND ""non-straight""","non-linear","236"
"""wavelet decay""","(discrete) wavelet transform (DCT)","236"
"""street mishap""","road accident","235"
"""humanoid action""","human actions","234"
"""highlight determination"" AND ""feature selection""","feature selection","233"
"""nourishment security""","food security","233"
"""highlight choice"" AND ""feature selection""","feature selection","232"
"""segmentation point"" AND ""cut point""","cut point","232"
"""computational multifaceted nature""","computational complexity","232"
